tool,sentence
appdynamics,"The main question is, has anyone experienced Webpack dependency compiling issues when using the Appdynamics library?"
appdynamics,And did you find a way to work around it?
appdynamics,Any help or clues would be appreciated ❤️
appdynamics,I am trying to setup the rabbitmq machine agent for AppDynamics with a standalone RabbitMQ.
appdynamics,https://www.appdynamics.com/community/exchange/extension/rabbitmq-monitoring-extension/
appdynamics,itMQ Monitoring Plugin 2.0.2
appdynamics,A curl on the RabbitMQ API works fine
appdynamics,Celery Flower is talking to rabbit fine with the following config options
appdynamics,My rabbitMQ Monitoring plugin is configured like so in config.yml
appdynamics,"In my troubleshooting, I followed this guide to add /opt/ca/cacert.pem to a Java keystore."
appdynamics,https://github.com/MichalHecko/SSLPoke
appdynamics,I initialize the machine agent as follows
appdynamics,I am still getting the following error for every RabbitMQ api call by the monitor in machineagent-bundle-64bit-linux-4.5.14.2293/logs/machine-agent.log
appdynamics,What am I missing?
appdynamics,Thank you!
appdynamics,We are instrumenting java agents on Tibco.
appdynamics,There are few JVMs ob each server and we are trying to configure unique node name (since which ever JVM starts first we get data only for that JVM).
appdynamics,"We tried to add the following in the startup command in the tra file:
 -Dappdynamics.agent.tierName=%tibco.deployment% -Dappdynamics.agent.nodeName=$HOSTNAME.%tibco.deployment%"
appdynamics,which didn't work since $HOSTNAME was not translated.
appdynamics,We need to define this dynamically since at every tibco deployment the configuration is lost and if we indicate a specific node name we have to reconfiure every tra separately.
appdynamics,How can we get the hostname dynamically into the tra file so we won't have to redefine every JVM (and we have many) after every deployment ?
appdynamics,"Regards,
Yy"
appdynamics,Our existing Infra is hosted on private servers.
appdynamics,AppDynamics  is used for monitoring hundreds of application &amp; host performances.
appdynamics,As a move we are moving all our applications on Azure.
appdynamics,Is this possible to get away from AppDynamics &amp; use any Azure solutions  for the same purpose.
appdynamics,Possibly Azure App Insight/Monitor ?
appdynamics,?
appdynamics,We have tried Java Application Monitoring on  Azure App Insight ; Azure Monitor is useful there.
appdynamics,Also we have used LogAnalytics for creating various performance Dashboards on Azure Monitor.
appdynamics,Can Application Insight support all the similar features of AppDynamics: Like Workflow Monitoring Performance Monitoring etc etc..
appdynamics,I have react app using webpack.
appdynamics,Building a docker image out of it is failing.
appdynamics,It is failing because appdynamics package.
appdynamics,I am getting the error only during docker build and npm run build seems to work fine without any issues.
appdynamics,"Environment:
React 16
Node 13
appdynamics var 4.5.20
webpack 4
Docker"
appdynamics,package.json
appdynamics,webpack.config.js
appdynamics,ERROR
appdynamics,"Im trying to monitor a page availability with Appdynamics 
I have an IIS server with one site and several applications."
appdynamics,Appdynamics .Net agent 20.4.1 installed on the monitored server
appdynamics,each application has a appName.svc web page that I can call to check if the service is up.
appdynamics,Im trying  AppDynamics Extension for URL Monitoring  and followed the installation instructions.
appdynamics,"I can see in  Metric browser  the URL monitor section, under that I see 'Metric Uploaded'."
appdynamics,where do I see indication that a URl is down/up?
appdynamics,"can I monitor multiple URLs, as i did in yml file?"
appdynamics,config.yml  file section looks like this:
appdynamics,log:
appdynamics,"With the Analyze -  Metric browser in AppDynamics, you can go in and look at all the various metrics in the tree, but there's no right-click ""edit"" option."
appdynamics,How do you modify/delete a metric?
appdynamics,HI I'm wondering if anyone has any thoughts on using  Appdynamics  to monitor WSO2.
appdynamics,"Out of the box appdynamics detects the servlet request coming in and that it gets written to the database, but beyond that it loses track of the transaction."
appdynamics,"so if anyone could give some help as to what other classes I should instrument, It would be a real help."
appdynamics,thanks
appdynamics,Sunil Vanmullem
appdynamics,Normally newer verisons of Appdynamics should display windows services if you add them specificially into the config.xml.
appdynamics,"I did that, restartet the services and the agent, but nothing happened."
appdynamics,Did anyone manage to display the Services ?
appdynamics,"If yes, where do they appear?"
appdynamics,I develop common java web app.
appdynamics,"I use  Hystrix  in my app, actually I have a  REST client  whose methods wrapped in  hystrix  commands."
appdynamics,My web app uses this rest client to communicate with remote server.
appdynamics,My web app is configured as described in  hystrix   wiki  (it's needed to calculate statistics for  hystrix  dashboard).
appdynamics,"To monitor my web app I use  AppDynamics  tool, but after I started using  rest client  based on  Hystrix  all calls from my web app aren't being displayed in  AppDynamics ."
appdynamics,When I switched implementation to client without Hystrix everything is working well as expected.
appdynamics,Maybe somebody knows what is the problem?
appdynamics,Thanks.
appdynamics,I want to analyse my Liferay Server with AppDynamics.
appdynamics,Is there special configuration to better analyse Liferay specific things or is the only way to check the JSP related execution and not the internal service calls from the JSPs?
appdynamics,System: Liferay 6.2 on Tomcat with a MySQL Database
appdynamics,I am trying to find suitable entry point for ES client.
appdynamics,At the moment I have:
appdynamics,Class that implements an Interface which equals org.elasticsearch.client.ElasticsearchClient
appdynamics,and method name: prepareSearch
appdynamics,It seems to collect number of calls but I wonder if there is a better configuration to make ES calls to show up in Tier Flow Map.
appdynamics,"When having the AppDynamics performance monitor installed, the servicestack API fails to load with the following exception:"
appdynamics,"Could not load type 'd__38' from assembly '###, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null'."
appdynamics,"StackTrace:
   at ###.BaseService 1.&lt;Any&gt;d__38.MoveNext() in ###\Services\BaseService.cs:line 190
   at System.Runtime.CompilerServices.AsyncTaskMethodBuilder 1.Start[TStateMachine](TStateMachine&amp; stateMachine)
   at ###.BaseService 1.Any(T request)
   at ServiceStack.Host.ServiceRunner 1.Execute(IRequest request, Object instance, TRequest requestDto)"
appdynamics,Any help is greatly appreciated.
appdynamics,Thank you
appdynamics,I want to execute the below command through Java code.
appdynamics,This is to create connection to my Appdynamics Contoller
appdynamics,curl --user user@customer1:password ' http://192.168.1.11:9090/controller/rest/applications?output=JSON '
appdynamics,The java code that I have written for this is
appdynamics,I keep on getting below error
appdynamics,"HTTP/1.1 401 Unauthorized
Error report  HTTP Status 401 -    type  Status report"
appdynamics,message
appdynamics,description This request requires HTTP authentication ().
appdynamics,Can anyone please help.
appdynamics,I Have tried to find if Appdynamics provides any API but I could not find any.
appdynamics,"So I want to know if there are any APIs available for creating users and project/job in Appdynamics, so that I can automate the process using Python scripts."
appdynamics,We are in the process of building a new server infrastructure and will be using Appdynamics for analytics of the Java applications.
appdynamics,"Appdynamics has a lot of features, so it seems that server metrics via collectd to Graphite will no longer be necessary."
appdynamics,Application metrics can also be fed straight into Appdynamics.
appdynamics,"How about Logstash, ElasticSearch and Kibana and centralised logging."
appdynamics,Is there still any reason to build an ELK stack for the Java developers when they can use Appdynamics?
appdynamics,I have installed AppDynamics's Java Machine Agent along with the URL Monitoring Extension.
appdynamics,"Every day, for 1 or 2 hours, the metrics are not appearing on my metric browser."
appdynamics,"I checked the logs corresponding to those time periods, and I see that the HTTP Requests are being made and are getting back HTTP 200 OK responses."
appdynamics,"My assumption is that the extension is not sending over the metrics, but I am unable to understand the cause of it."
appdynamics,Can anyone point me into the right direction?
appdynamics,I was not able to find any information regarding configuration of  AppDynamics  agent for  JUnit  tests.
appdynamics,I would like to test performance of Hibernate queries of  Spring  based web service backed by  PostgreSQL  database.
appdynamics,Tests must be able to rollback the data at the termination.
appdynamics,Should it be unit or integration tests?
appdynamics,What is the best way to accomplish it?
appdynamics,How to make  AppDynamics  collect and display graphs of query execution times?
appdynamics,UPDATE:
appdynamics,I was not able to set up addDynamics agent for JUnit tests inside IDEA.
appdynamics,"The VM arguments is pointing to agent  -javaagent:""C:\Tools\AppDynamicsAgent\javaagent.jar"" , the firewall is off but for some reason in appdynamics web based (SaaS) set up dialog shows that no agent able to connect:"
appdynamics,"I'm using AppD as APM for my application and in slow transaction reports it shows most of the calls, which is not our application code and we are calling open source libraries method."
appdynamics,For example :
appdynamics,com.google.common.reflect.TypeVisitor.visit  method of google library takes almost 155 ms time and  com.google.common.reflect.TypeToken.equals()  method takes almost 60 ms. and  org.apache.tapestry5.internal.services.RenderQueueImpl.render()  takes almost 50 ms.
appdynamics,I want to highlight that  I've checked and my server is not loaded and both CPU and memory usage is very low as well this time taken is for very small amount of data processing .
appdynamics,Let me know the reason behind this and how can I optimize the performance of my application.
appdynamics,I have an application that is generating 3 kind of log files
appdynamics,"and I want to analyse the performance of my server using appdynamics so what kind of data my logs should be generating to generate analytics for server health, performance, throughput, server utilization?"
appdynamics,JMX used for monitoring and managing the services/components &amp; devices.
appdynamics,"My question is about monitoring,for the monitoring purpose do we have to change any code if we use JMX."
appdynamics,"If that is the case, App dynamics will solve this process without doing single line of code change ?"
appdynamics,"I haven't found anywhere an answer, so I decided to write here."
appdynamics,Is it possible to display AppDynamics Dashboards on the TV display?
appdynamics,"Currently I'm using something like  GRUNT  (gruntjs.com), but nowhere can I find whether it is feasible with that?"
appdynamics,"Currently I'm using GRUNT for displaying tasks from Jenkins, but I don't know how to configure it with AppDynamics."
appdynamics,"Regards,
Kamil"
appdynamics,I am trying to setup the AppDynamics java agent.
appdynamics,I am facing issues in loading java agent in the JVM.
appdynamics,I try to add the below argument to the start.bat jvm options.
appdynamics,-javaagent:C:\javaagent.jar
appdynamics,"However, the aem do not start after this."
appdynamics,I have kept AppMachineAgent folder in the same drive as the AEM installation.
appdynamics,"However, javaagent.jar is not kept in the bin folder of the AEM."
appdynamics,Do I need to keep it in the bin folder?
appdynamics,Any suggested steps I am missing?
appdynamics,I am having multiple java application configured in my app-dynamics controller and they have their own java agent running and reporting the metrics.
appdynamics,My problem is that SLA for each application is different and if i change the slow transaction threshold for a single application.
appdynamics,"it changes it for other application as well, which is creating lot of trouble for me."
appdynamics,So my question is how to configure separate transaction threshold for each application in AppDynamics controller  ?
appdynamics,I am able to authenticate and fetch details using local user account using the python SDK of App Dynamics is there a way to authenticate using AD from python API or using the REST/curl.
appdynamics,Is it possible to create a stacked area graph in AppDynamics?
appdynamics,I want to show the cumulative effects of API response and browser DOM ready to visualize where variance is originating.
appdynamics,"I can put both of these on a single graph, but if I choose Area, they overlap."
appdynamics,How do I get them to stack?
appdynamics,"I'm on AppDynamics Version 4.3.1.2, build 47"
appdynamics,"I just testing AppDynamics for my database, I am able get it work on MySQL 5 and SQL Server 2014, but I got a JDBC error on SQL Server 2005."
appdynamics,Here is the error log:
appdynamics,"06 6月 2017 00:55:59,461 ERROR [AD Thread Pool-Global0] DBAgentPollingForUpdate:30 - Fatal transport error while connecting to URL [/controller/instance/DBAGENT_MACHINE_ID/db-monit
  or-config/37784]: org.apache.http.NoHttpResponseException: davinci2017060100542331.saas.appdynamics.com:443 failed to respond
  06 6月 2017 00:55:59,473  WARN [AD Thread Pool-Global0] DBAgentPollingForUpdate:62 - Invalid response for configuration request from controller/could not connect."
appdynamics,"Msg: Fatal transp
  ort error while connecting to URL [/controller/instance/DBAGENT_MACHINE_ID/db-monitor-config/37784]
  06 6月 2017 00:56:00,026  INFO [-Scheduler-3] ADBCollector:141 - DB Collector DBSERVER01 is temporarily disabled."
appdynamics,"06 6月 2017 00:56:01,026  INFO [-Scheduler-3] ARelationalDBCollector:59 - (Re)initialize the DB collector 'DBSERVER01'."
appdynamics,"06 6月 2017 00:56:01,040  INFO [-Scheduler-3] MSSqlCollector:74 - Obtained connection for url jdbc:sqlserver://192.168.1.100:1433
  06 6月 2017 00:56:01,047  INFO [-Scheduler-3] MSSqlCollector:139 - SQL Server Version = 9.00.5057.00 ( 2005.0 )
  06 6月 2017 00:57:00,025 ERROR [-Scheduler-1] ADBCollector:172 -  Error collecting data for database 'DBSERVER01'
  com.microsoft.sqlserver.jdbc.SQLServerException: Incorrect syntax near 'sys'."
appdynamics,"at com.microsoft.sqlserver.jdbc.SQLServerException.makeFromDatabaseError(SQLServerException.java:216)
          at com.microsoft.sqlserver.jdbc.SQLServerStatement.getNextResult(SQLServerStatement.java:1515)
          at com.microsoft.sqlserver.jdbc.SQLServerPreparedStatement.doExecutePreparedStatement(SQLServerPreparedStatement.java:404)
          at com.microsoft.sqlserver.jdbc.SQLServerPreparedStatement$PrepStmtExecCmd.doExecute(SQLServerPreparedStatement.java:350)
          at com.microsoft.sqlserver.jdbc.TDSCommand.execute(IOBuffer.java:5696)
          at com.microsoft.sqlserver.jdbc.SQLServerConnection.executeCommand(SQLServerConnection.java:1715)
          at com.microsoft.sqlserver.jdbc.SQLServerStatement.executeCommand(SQLServerStatement.java:180)
          at com.microsoft.sqlserver.jdbc.SQLServerStatement.executeStatement(SQLServerStatement.java:155)
          at com.microsoft.sqlserver.jdbc.SQLServerPreparedStatement.executeQuery(SQLServerPreparedStatement.java:285)
          at com.singularity.ee.agent.dbagent.collector.db.relational.mssql.AMSSqlCollectorDelegate.collectDBMSMetrics(AMSSqlCollectorDelegate.java:335)
          at com.singularity.ee.agent.dbagent.collector.db.ADBCollectorDelegate.collectPerMinute(ADBCollectorDelegate.java:88)
          at com.singularity.ee.agent.dbagent.collector.db.ADBCollector.collect(ADBCollector.java:156)
          at com.singularity.ee.agent.dbagent.collector.db.ADBCollector.run(ADBCollector.java:139)
          at com.singularity.ee.util.javaspecific.scheduler.AgentScheduledExecutorServiceImpl$SafeRunnable.run(AgentScheduledExecutorServiceImpl.java:122)
          at java.util.concurrent.Executors$RunnableAdapter.call(Unknown Source)
          at com.singularity.ee.util.javaspecific.scheduler.ADFutureTask$Sync.innerRunAndReset(ADFutureTask.java:335)
          at com.singularity.ee.util.javaspecific.scheduler.ADFutureTask.runAndReset(ADFutureTask.java:152)
          at com.singularity.ee.util.javaspecific.scheduler.ADScheduledThreadPoolExecutor$ADScheduledFutureTask.access$101(ADScheduledThreadPoolExecutor.java:119)
          at com.singularity.ee.util.javaspecific.scheduler.ADScheduledThreadPoolExecutor$ADScheduledFutureTask.runPeriodic(ADScheduledThreadPoolExecutor.java:206)
          at com.singularity.ee.util.javaspecific.scheduler.ADScheduledThreadPoolExecutor$ADScheduledFutureTask.run(ADScheduledThreadPoolExecutor.java:236)
          at com.singularity.ee.util.javaspecific.scheduler.ADThreadPoolExecutor$Worker.runTask(ADThreadPoolExecutor.java:694)
          at com.singularity.ee.util.javaspecific.scheduler.ADThreadPoolExecutor$Worker.run(ADThreadPoolExecutor.java:726)
          at java.lang.Thread.run(Unknown Source)"
appdynamics,I need to fetch the transaction scorecard data of a business application using the REST API of AppDynamics .
appdynamics,Following is the a sample view of AppDynamics Transaction Scorecard
appdynamics,"I have done through the AppDynamics REST API documentation to some extent,but not found anything so far ."
appdynamics,Can anybody have any idea on this ?
appdynamics,I tried to call AppDynamics API using python requests but face an issue.
appdynamics,I wrote a sample code using the python client as follows...
appdynamics,It works fine.
appdynamics,But if I do a simple call like the following
appdynamics,I get the following response:
appdynamics,Am I doing anything wrong here ?
appdynamics,When I am invoking a REST URI from the browser using an URL like the following
appdynamics,http://:/controller/rest/applications//business-transactions?output=JSON
appdynamics,and this is providing the output as
appdynamics,"This output is missing the indicator/field for severity information like WARNING,CRITICAL,NORMAL etc."
appdynamics,How to get the severity information from the AppDynamics REST call ?
appdynamics,We have implemented AppDynamics in Jboss application.
appdynamics,We have load balancer and autoscalling which means we will have node registration when new server comes up.
appdynamics,The problem here is Java and Machine Agent.
appdynamics,"Java Agent can reuse name with prefix (Appd Controlled Node Names) , but machine agent node name need to be provided at configuration level."
appdynamics,We are getting two separate agents listed.
appdynamics,One is 100% with Machine Agent and another with Java agent.
appdynamics,We need Machine Agent will ping at same line.
appdynamics,https://i.stack.imgur.com/MhpeU.png
appdynamics,"What is the meaning and use of environment variables in the Python Agent configuration for App Dynamics, as documented here:"
appdynamics,https://docs.appdynamics.com/display/PRO42/Python+Agent+Settings
appdynamics,More specifically:
appdynamics,"If a value is set in the file and the corresponding environment variable is also set, which one takes precedence?"
appdynamics,"If I want to use environment variables for some of these values, can they be omitted from the file?"
appdynamics,Can AppDynamics show the request or response being exchanged between different microservices systems.
appdynamics,"They show the call trace, but couldnt find the details of what is passing between the calls."
appdynamics,What are the differences in features between AppDynamics and Zipkin apart from the pricing since zipkin is opensource.
appdynamics,"Can any of them show request or response, in their console?"
appdynamics,Is this comparison even valid?
appdynamics,Appdynamics does a lot of other things beyond crash logs.
appdynamics,So using Crittercism for crashlogs is a good idea or bad.
appdynamics,Consider below code:
appdynamics,"I could use AppDynamics ""Java POJO"" rule to create a business transaction to track all the calls to Job.process() method."
appdynamics,But the measured response time didn't reflect real cost by the async thread started by java.util.concurrent.ExecutorService.
appdynamics,This exact problem is also described in AppDynamics document:  End-to-End Latency Performance  that:
appdynamics,"The return of control stops the clock on the transaction in terms of measuring response time, but meanwhile the logical processing for the transaction continues."
appdynamics,The same AppDynamics document tries to give a solution to address this issue but the instructions it provides is not very clear to me.
appdynamics,Could anyone give more executable guide on how to configure AppD to track async calls like the one shown above?
appdynamics,We are in the process of configuring AppDynamics for one of our applications.
appdynamics,"Since there are many instances of the application, we want to add nodename with agentId and hostName so as to identify the different instances."
appdynamics,"Below is how we are trying to do, but it does not seems to work:"
appdynamics,Once I start the JVM the node name appears as CalculationEngine_null_null.
appdynamics,I was hoping nodename to come CalculationEngine_3_a301-564.com where 3 being the agentid and a301-564 being the host name.
appdynamics,Also even if the host name parameter is not correct at least it should show CalculationEngine_3_null
appdynamics,What could be wrong here?
appdynamics,Or is it not possible?
appdynamics,I am using the ActiveMQ extension of AppDynamics.
appdynamics,It is good to start.
appdynamics,With JMXRemote(enabled in artemis.profile) it is OK.
appdynamics,"But, I want it from localhost."
appdynamics,JMX is enabled by default for localhost for AMQ.
appdynamics,AMQ management console use jmx internally and it works without JMXRemote enabled.
appdynamics,What service URL jolokia use internally to connect using JMX from localhost?
appdynamics,I have tryed with following URL:
appdynamics,"serviceUrl: ""service:jmx:rmi:///jndi/rmi://:1099/jmxrmi"""
appdynamics,I'm trying to determine if AppDyanmics support Opentracing.
appdynamics,I've looked in the app dynamics site and stack overflow but can't find a clear answer.
appdynamics,"Thanks,
Carlos"
appdynamics,We have a JBoss fuse ESB instance Running Version 6.3.0.
appdynamics,"With this, Installed as a Service using tanuki wrapper."
appdynamics,When passing the javaagent Argument The Application (hawtio)Breaks.
appdynamics,we have tried passing the argument in the following files:
