tool,sentence,neg,pos,neu,com
appdynamics,I am trying to a good comparison between AppDynamics and Application Insights in regard to Azure App Service.,0.0,0.162,0.838,0.4404
appdynamics,"I tried to google around but couldn't find any good comparison, if someone can point me or summarize here.",0.155,0.0,0.845,-0.4782
appdynamics,Has anybody solved to monitor Azure functions using AppDynamics ?,0.0,0.208,0.792,0.2732
appdynamics,I don't see any option to add a AppDynamics extension to the Azure functions app.,0.0,0.0,1.0,0.0
appdynamics,For a period of time we might want to have the two analytics together.,0.0,0.098,0.902,0.0772
appdynamics,Could this be problematic?,0.492,0.0,0.508,-0.4404
appdynamics,Would it be degrade the speed?,0.367,0.0,0.633,-0.4404
appdynamics,Would there be any fight between who captures the crash log?,0.371,0.0,0.629,-0.6486
appdynamics,!,0.0,0.0,0.0,0.0
appdynamics,Most popular logging and monitoring stacks like ELK stack or Time series DB-Grafana are designed to be integrated.,0.0,0.259,0.741,0.6801
appdynamics,"Can AppDynamics work with other samplers/DBs, in particular Prometheus?",0.0,0.0,1.0,0.0
appdynamics,I have a problem with my health rule configuration.,0.31,0.0,0.69,-0.4019
appdynamics,All I want is to have health rule which will be checking if service is running or not.,0.0,0.075,0.925,0.0772
appdynamics,I have two types of services:,0.0,0.0,1.0,0.0
appdynamics,IIS,0.0,0.0,1.0,0.0
appdynamics,Standalone services,0.0,0.0,1.0,0.0
appdynamics,The problem is that some services are recognized as critical due to health rule violation.,0.406,0.0,0.594,-0.802
appdynamics,"For example, I have two exactly the same services on two hosts and the only difference is that one of them is in use not so often.",0.0,0.0,1.0,0.0
appdynamics,Due to lack of activity on this service appdynamics pointing me it as critical.,0.277,0.0,0.723,-0.5574
appdynamics,Most probably I have done something wrong.,0.383,0.0,0.617,-0.4767
appdynamics,Any ideas?,0.0,0.0,1.0,0.0
appdynamics,I'm struggling with it as additional task.,0.318,0.0,0.682,-0.4215
appdynamics,Tried appdynamics community website but nothing which could point me solution.,0.0,0.228,0.772,0.4497
appdynamics,Here's my health rule configuration :,0.0,0.0,1.0,0.0
appdynamics,I have a Spring application monitored by Appdynamics.,0.0,0.0,1.0,0.0
appdynamics,"This application has a Service Endpoint recognized by Appdynamics, named lets say:  /general/endpoint",0.0,0.0,1.0,0.0
appdynamics,Now within the application there are multiple endpoints like:,0.0,0.238,0.762,0.3612
appdynamics,Now back to Appdynamics: Within the Service Endpoints menu I can find my  /general/endpoint  and click on it.,0.0,0.0,1.0,0.0
appdynamics,"Then I see a table with the actual REST API calls, their respective execution time, the specific URL (like  /general/endpoint/do-something-1 ) and some more information.",0.0,0.118,0.882,0.4215
appdynamics,If I am interested in monitoring the requests for a specific URL I can do the following:,0.0,0.172,0.828,0.4019
appdynamics,"Now I see what I want, all the requests and their potential problems for a specific URL inside my application.",0.142,0.068,0.789,-0.34
appdynamics,Now comes my actual question:,0.0,0.0,1.0,0.0
appdynamics,How can I achieve the same for Dashboards?,0.0,0.0,1.0,0.0
appdynamics,I was only able to create a dashboard with the  Calls per Minute  for the  /general/endpoint  but not for a specific URL like  /general/endpoint/do-something-1 .,0.0,0.202,0.798,0.5859
appdynamics,Is there a way to apply the more fine grade filter for dashboards as well?,0.0,0.259,0.741,0.4927
appdynamics,I am doing some proof of concept to ingest traces and metrics to AppDynamics without installing Appdynamics agent.,0.0,0.0,1.0,0.0
appdynamics,I have an application emitting prometheus metrics and traces.,0.0,0.0,1.0,0.0
appdynamics,I could not find any Appdynamics documentation talking about opentelemetry Collector.,0.0,0.0,1.0,0.0
appdynamics,I could not find exporter in  https://github.com/open-telemetry/opentelemetry-collector-contrib/tree/main/exporter  either.,0.0,0.0,1.0,0.0
appdynamics,Can you please advise on how to use opencollector with Appdynamics?,0.0,0.187,0.813,0.3182
appdynamics,"With appdynamics it's easy to setup metrics that ""aggregate"" data from different nodes.",0.0,0.195,0.805,0.4404
appdynamics,"What if you want to aggregate some date, and some other data, show as distinct lines in the graph?",0.0,0.067,0.933,0.0772
appdynamics,Is that possible?,0.0,0.0,1.0,0.0
appdynamics,I am trying to install Appdynamics APM tool.,0.0,0.0,1.0,0.0
appdynamics,It has three components :,0.0,0.0,1.0,0.0
appdynamics,I have few queries:,0.0,0.0,1.0,0.0
appdynamics,How can we capture heap dumps with the help of appdynamics?,0.188,0.188,0.625,0.0
appdynamics,How does AppDynamics and similar problems retrieve data from apps ?,0.231,0.0,0.769,-0.4019
appdynamics,"I read somewhere here on SO that it is based on bytecode injection, but is there some official or reliable source to this information ?",0.0,0.0,1.0,0.0
appdynamics,I am trying to integrate apps performance monitoring tool with my Android Application by my gradle fails saying,0.149,0.0,0.851,-0.4215
appdynamics,Below is my gradle root gradle file,0.0,0.0,1.0,0.0
appdynamics,"And here is my App's gradle file,",0.0,0.0,1.0,0.0
appdynamics,I am already having Multidex flag enabled still it gives me the problem while running the Application.,0.153,0.0,0.847,-0.4019
appdynamics,"And, also I have in my Application class",0.0,0.0,1.0,0.0
appdynamics,I would like to know which existing api in AppDynamics can we use to generate custom reports.,0.0,0.143,0.857,0.3612
appdynamics,"The use case is like, i am consolidating reports from multiple tools so,i would be using the API of app dynamics and doing a backend call to pull the data i need to display and putting it in a csv or excel.All of this will happen in an automated way, would like to know the api or any specific way to do the same in app dynamics.",0.0,0.135,0.865,0.802
appdynamics,How to find TimeStamp difference in App Dynamics Query Language (ADQL)?,0.0,0.174,0.826,0.2732
appdynamics,I tried column1 - column2.,0.0,0.0,1.0,0.0
appdynamics,"Getting error message ""Operator  [SUBTRACTION]  not valid on field types  [DATETIME], [DATETIME] .",0.197,0.0,0.803,-0.4019
appdynamics,I have my java application up and running.,0.0,0.0,1.0,0.0
appdynamics,I want to import that application in Appdynamics for monitoring.,0.0,0.14,0.86,0.0772
appdynamics,Can any one please suggest how to import java applications in appdynamics.,0.0,0.173,0.827,0.3182
appdynamics,"Data is not loading from standalone java applications to agent controller, but only say java agent is connected successfully and waiting for data to load.",0.0,0.152,0.848,0.6486
appdynamics,"In Autodetection and Object tracing dashboard tabs, not able to view the detail or drill down the object tracking instances for standalone Java applications.",0.0,0.0,1.0,0.0
appdynamics,Configured adding some of the fully qualified class names from the application.,0.0,0.0,1.0,0.0
appdynamics,"Please advice, do I need to do any other settings to get the drill down feature?",0.0,0.141,0.859,0.3182
appdynamics,We have cluster of instances whereas each instance has DropWizard metrics gatherer.,0.0,0.0,1.0,0.0
appdynamics,We're also trying to leverage AppDynamics custom metrics and that works so that custom script hits DropWizard exposed endpoint (/metrics) and sends metrics of interest to AppDynamics Controller.,0.043,0.099,0.858,0.4019
appdynamics,AppDynamics has 2 cluster rollout strategies for how the metric is displayed in a whole application view (tier) - SUM and AVG.,0.0,0.0,1.0,0.0
appdynamics,While this works well for stuff like counts (sum is used) and average processing times (avg is used) - we for now don't have any idea of how to aggregate each instance percentiles exposed by DropWizard - neither sum nor avg looks correct.,0.03,0.105,0.866,0.5106
appdynamics,Example:,0.0,0.0,1.0,0.0
appdynamics,sum  will give 1700 what of course isn't useful at all.,0.194,0.0,0.806,-0.3412
appdynamics,avg  will give 600 - which isn't correct either - we're losing track of higher bound.,0.167,0.0,0.833,-0.3818
appdynamics,If AppDynamics had MAX Cluster rollout - that would be more or less fair - still not correct though.,0.0,0.124,0.876,0.3117
appdynamics,But AppDynamics doesn't have that.,0.0,0.0,1.0,0.0
appdynamics,We also understand that the only fully correct way of gathering cluster percentiles is to perform aggregation from all nodes at one place (e.g.,0.0,0.0,1.0,0.0
appdynamics,"logstash, etc..) and not on each instance.",0.0,0.0,1.0,0.0
appdynamics,But for now that's what we have - just sending custom metrics periodically.,0.0,0.0,1.0,0.0
appdynamics,It would be great if anyone suggests something regarding that.,0.0,0.313,0.687,0.6249
appdynamics,"Thanks in advance,",0.0,0.592,0.408,0.4404
appdynamics,"I see that Appdynamics 4.2 claims to  support  Java 8 lambda instrumenting, but this support was  removed  in 4.3.",0.0,0.265,0.735,0.6597
appdynamics,I cannot find anything in  4.3 release notes  that mentions removing support for lambdas.,0.0,0.184,0.816,0.4019
appdynamics,What's happened?,0.0,0.0,1.0,0.0
appdynamics,Is it somehow related to  JDK-8145964 ?,0.0,0.0,1.0,0.0
appdynamics,Getting below error during platform installation:,0.351,0.0,0.649,-0.4019
appdynamics,"""Required libaio package is not found.",0.0,0.0,1.0,0.0
appdynamics,"...""",0.0,0.0,1.0,0.0
appdynamics,"However, above package is already installed:",0.0,0.0,1.0,0.0
appdynamics,Here is output from the installation script:,0.0,0.0,1.0,0.0
appdynamics,I have read about the Appdynamics in Kubernetes but I got confused.,0.247,0.0,0.753,-0.4497
appdynamics,"The scenario is like I am having EC2 under which Kubernetes is running which is having POD and under 1 pod, multiple container is running.",0.0,0.102,0.898,0.3612
appdynamics,Where I have to install machine-agent?,0.0,0.0,1.0,0.0
appdynamics,In EC2 or in daemon set?,0.0,0.0,1.0,0.0
appdynamics,And where I have to install app-agent?,0.0,0.0,1.0,0.0
appdynamics,do I have to add app-agent in each container Dockerfile?,0.0,0.0,1.0,0.0
appdynamics,"And lastly, what would be my hostName and uniqueHostId?",0.0,0.0,1.0,0.0
appdynamics,I explore AppDynamics and other APM solutions to choose right one for my company.,0.0,0.124,0.876,0.1779
appdynamics,I have created simple demo .NET application (WCF service and console client to consume it).,0.0,0.133,0.867,0.25
appdynamics,Then I installed AppDynamics agent on machine and configure it for both client and service as for standalone applications:,0.0,0.0,1.0,0.0
appdynamics,"When I start my client and service I see that AppD agent have ""injected"" code to my applications and write ""Running non-obfuscated client"" to the console",0.0,0.0,1.0,0.0
appdynamics,I want to understand what technics or methods AppDynamics agent use to instrument .NET applications without SDK and being just a separate process (service)?,0.0,0.058,0.942,0.0772
appdynamics,"How does it listen for incoming WCF calls of my service without being directly used by the service (it's not referenced as an assembly, even not mentioned in app.config)?",0.0,0.0,1.0,0.0
appdynamics,Has anyone experienced Webpack dependency compiling issues when using the AppDynamics library?,0.0,0.0,1.0,0.0
appdynamics,And did you find a way to work around it?,0.0,0.0,1.0,0.0
appdynamics,I believe this is an issue stemming from their library.,0.0,0.0,1.0,0.0
appdynamics,"When trying to install the AppDynamics package for monitoring a Node.js/Express application, our Webpack build process is not able to import a handful of dependencies.",0.0,0.0,1.0,0.0
appdynamics,"Specifically, the errors output are:",0.375,0.0,0.625,-0.34
appdynamics,"Our project is set up with:
- Webpack v4.29.0
- Node.js v11.0.0
- Appdynamics v4.5",0.0,0.0,1.0,0.0
appdynamics,The Appdynamics usage is at the top of our server file as:,0.0,0.141,0.859,0.2023
appdynamics,And our Webpack configuration is:,0.0,0.0,1.0,0.0
appdynamics,"So far we have tried downgrading the Webpack version, downgrading the Node environment to 10.15, and using other import methods for the AppDynamics package, but this seems like an issue internal to the Appdynamics library?",0.0,0.087,0.913,0.5023
appdynamics,"The main question is, has anyone experienced Webpack dependency compiling issues when using the Appdynamics library?",0.0,0.0,1.0,0.0
appdynamics,And did you find a way to work around it?,0.0,0.0,1.0,0.0
appdynamics,Any help or clues would be appreciated ❤️,0.0,0.5,0.5,0.7184
appdynamics,I am trying to setup the rabbitmq machine agent for AppDynamics with a standalone RabbitMQ.,0.0,0.0,1.0,0.0
appdynamics,https://www.appdynamics.com/community/exchange/extension/rabbitmq-monitoring-extension/,0.0,0.0,1.0,0.0
appdynamics,itMQ Monitoring Plugin 2.0.2,0.0,0.0,1.0,0.0
appdynamics,A curl on the RabbitMQ API works fine,0.0,0.231,0.769,0.2023
appdynamics,Celery Flower is talking to rabbit fine with the following config options,0.0,0.141,0.859,0.2023
appdynamics,My rabbitMQ Monitoring plugin is configured like so in config.yml,0.0,0.217,0.783,0.3612
appdynamics,"In my troubleshooting, I followed this guide to add /opt/ca/cacert.pem to a Java keystore.",0.0,0.134,0.866,0.1779
appdynamics,https://github.com/MichalHecko/SSLPoke,0.0,0.0,1.0,0.0
appdynamics,I initialize the machine agent as follows,0.0,0.0,1.0,0.0
appdynamics,I am still getting the following error for every RabbitMQ api call by the monitor in machineagent-bundle-64bit-linux-4.5.14.2293/logs/machine-agent.log,0.153,0.0,0.847,-0.4019
appdynamics,What am I missing?,0.524,0.0,0.476,-0.296
appdynamics,Thank you!,0.0,0.736,0.264,0.4199
appdynamics,We are instrumenting java agents on Tibco.,0.0,0.0,1.0,0.0
appdynamics,There are few JVMs ob each server and we are trying to configure unique node name (since which ever JVM starts first we get data only for that JVM).,0.0,0.0,1.0,0.0
appdynamics,"We tried to add the following in the startup command in the tra file:
 -Dappdynamics.agent.tierName=%tibco.deployment% -Dappdynamics.agent.nodeName=$HOSTNAME.%tibco.deployment%",0.0,0.0,1.0,0.0
appdynamics,which didn't work since $HOSTNAME was not translated.,0.0,0.0,1.0,0.0
appdynamics,We need to define this dynamically since at every tibco deployment the configuration is lost and if we indicate a specific node name we have to reconfiure every tra separately.,0.071,0.089,0.839,0.1469
appdynamics,How can we get the hostname dynamically into the tra file so we won't have to redefine every JVM (and we have many) after every deployment ?,0.0,0.091,0.909,0.3612
appdynamics,"Regards,
Yy",0.0,0.0,1.0,0.0
appdynamics,Our existing Infra is hosted on private servers.,0.0,0.0,1.0,0.0
appdynamics,AppDynamics  is used for monitoring hundreds of application &amp; host performances.,0.0,0.0,1.0,0.0
appdynamics,As a move we are moving all our applications on Azure.,0.0,0.0,1.0,0.0
appdynamics,Is this possible to get away from AppDynamics &amp; use any Azure solutions  for the same purpose.,0.0,0.096,0.904,0.1779
appdynamics,Possibly Azure App Insight/Monitor ?,0.0,0.0,1.0,0.0
appdynamics,?,0.0,0.0,0.0,0.0
appdynamics,We have tried Java Application Monitoring on  Azure App Insight ; Azure Monitor is useful there.,0.0,0.172,0.828,0.4404
appdynamics,Also we have used LogAnalytics for creating various performance Dashboards on Azure Monitor.,0.0,0.155,0.845,0.296
appdynamics,Can Application Insight support all the similar features of AppDynamics: Like Workflow Monitoring Performance Monitoring etc etc..,0.0,0.257,0.743,0.6369
appdynamics,I have react app using webpack.,0.0,0.0,1.0,0.0
appdynamics,Building a docker image out of it is failing.,0.32,0.0,0.68,-0.5106
appdynamics,It is failing because appdynamics package.,0.398,0.0,0.602,-0.5106
appdynamics,I am getting the error only during docker build and npm run build seems to work fine without any issues.,0.126,0.084,0.791,-0.2263
appdynamics,"Environment:
React 16
Node 13
appdynamics var 4.5.20
webpack 4
Docker",0.0,0.0,1.0,0.0
appdynamics,package.json,0.0,0.0,1.0,0.0
appdynamics,webpack.config.js,0.0,0.0,1.0,0.0
appdynamics,ERROR,1.0,0.0,0.0,-0.4019
appdynamics,"Im trying to monitor a page availability with Appdynamics 
I have an IIS server with one site and several applications.",0.0,0.0,1.0,0.0
appdynamics,Appdynamics .Net agent 20.4.1 installed on the monitored server,0.0,0.0,1.0,0.0
appdynamics,each application has a appName.svc web page that I can call to check if the service is up.,0.0,0.0,1.0,0.0
appdynamics,Im trying  AppDynamics Extension for URL Monitoring  and followed the installation instructions.,0.0,0.0,1.0,0.0
appdynamics,"I can see in  Metric browser  the URL monitor section, under that I see 'Metric Uploaded'.",0.0,0.0,1.0,0.0
appdynamics,where do I see indication that a URl is down/up?,0.0,0.0,1.0,0.0
appdynamics,"can I monitor multiple URLs, as i did in yml file?",0.0,0.0,1.0,0.0
appdynamics,config.yml  file section looks like this:,0.0,0.333,0.667,0.3612
appdynamics,log:,0.0,0.0,1.0,0.0
appdynamics,"With the Analyze -  Metric browser in AppDynamics, you can go in and look at all the various metrics in the tree, but there's no right-click ""edit"" option.",0.097,0.0,0.903,-0.4215
appdynamics,How do you modify/delete a metric?,0.0,0.0,1.0,0.0
appdynamics,HI I'm wondering if anyone has any thoughts on using  Appdynamics  to monitor WSO2.,0.0,0.0,1.0,0.0
appdynamics,"Out of the box appdynamics detects the servlet request coming in and that it gets written to the database, but beyond that it loses track of the transaction.",0.098,0.0,0.902,-0.4497
appdynamics,"so if anyone could give some help as to what other classes I should instrument, It would be a real help.",0.0,0.241,0.759,0.6597
appdynamics,thanks,0.0,1.0,0.0,0.4404
appdynamics,Sunil Vanmullem,0.0,0.0,1.0,0.0
appdynamics,Normally newer verisons of Appdynamics should display windows services if you add them specificially into the config.xml.,0.0,0.0,1.0,0.0
appdynamics,"I did that, restartet the services and the agent, but nothing happened.",0.0,0.0,1.0,0.0
appdynamics,Did anyone manage to display the Services ?,0.0,0.0,1.0,0.0
appdynamics,"If yes, where do they appear?",0.0,0.351,0.649,0.4019
appdynamics,I develop common java web app.,0.0,0.0,1.0,0.0
appdynamics,"I use  Hystrix  in my app, actually I have a  REST client  whose methods wrapped in  hystrix  commands.",0.0,0.0,1.0,0.0
appdynamics,My web app uses this rest client to communicate with remote server.,0.0,0.0,1.0,0.0
appdynamics,My web app is configured as described in  hystrix   wiki  (it's needed to calculate statistics for  hystrix  dashboard).,0.0,0.0,1.0,0.0
appdynamics,"To monitor my web app I use  AppDynamics  tool, but after I started using  rest client  based on  Hystrix  all calls from my web app aren't being displayed in  AppDynamics .",0.0,0.0,1.0,0.0
appdynamics,When I switched implementation to client without Hystrix everything is working well as expected.,0.0,0.149,0.851,0.2732
appdynamics,Maybe somebody knows what is the problem?,0.31,0.0,0.69,-0.4019
appdynamics,Thanks.,0.0,1.0,0.0,0.4404
appdynamics,I want to analyse my Liferay Server with AppDynamics.,0.0,0.157,0.843,0.0772
appdynamics,Is there special configuration to better analyse Liferay specific things or is the only way to check the JSP related execution and not the internal service calls from the JSPs?,0.0,0.167,0.833,0.6808
appdynamics,System: Liferay 6.2 on Tomcat with a MySQL Database,0.0,0.0,1.0,0.0
appdynamics,I am trying to find suitable entry point for ES client.,0.0,0.0,1.0,0.0
appdynamics,At the moment I have:,0.0,0.0,1.0,0.0
appdynamics,Class that implements an Interface which equals org.elasticsearch.client.ElasticsearchClient,0.0,0.0,1.0,0.0
appdynamics,and method name: prepareSearch,0.0,0.0,1.0,0.0
appdynamics,It seems to collect number of calls but I wonder if there is a better configuration to make ES calls to show up in Tier Flow Map.,0.0,0.179,0.821,0.6124
appdynamics,"When having the AppDynamics performance monitor installed, the servicestack API fails to load with the following exception:",0.149,0.0,0.851,-0.4215
appdynamics,"Could not load type 'd__38' from assembly '###, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null'.",0.0,0.0,1.0,0.0
appdynamics,"StackTrace:
   at ###.BaseService 1.&lt;Any&gt;d__38.MoveNext() in ###\Services\BaseService.cs:line 190
   at System.Runtime.CompilerServices.AsyncTaskMethodBuilder 1.Start[TStateMachine](TStateMachine&amp; stateMachine)
   at ###.BaseService 1.Any(T request)
   at ServiceStack.Host.ServiceRunner 1.Execute(IRequest request, Object instance, TRequest requestDto)",0.0,0.0,1.0,0.0
appdynamics,Any help is greatly appreciated.,0.0,0.677,0.323,0.7425
appdynamics,Thank you,0.0,0.714,0.286,0.3612
appdynamics,I want to execute the below command through Java code.,0.0,0.14,0.86,0.0772
appdynamics,This is to create connection to my Appdynamics Contoller,0.0,0.208,0.792,0.2732
appdynamics,curl --user user@customer1:password ' http://192.168.1.11:9090/controller/rest/applications?output=JSON ',0.0,0.0,1.0,0.0
appdynamics,The java code that I have written for this is,0.0,0.0,1.0,0.0
appdynamics,I keep on getting below error,0.403,0.0,0.597,-0.4019
appdynamics,"HTTP/1.1 401 Unauthorized
Error report  HTTP Status 401 -    type  Status report",0.213,0.0,0.787,-0.4019
appdynamics,message,0.0,0.0,1.0,0.0
appdynamics,description This request requires HTTP authentication ().,0.0,0.0,1.0,0.0
appdynamics,Can anyone please help.,0.0,0.714,0.286,0.6124
appdynamics,I Have tried to find if Appdynamics provides any API but I could not find any.,0.0,0.0,1.0,0.0
appdynamics,"So I want to know if there are any APIs available for creating users and project/job in Appdynamics, so that I can automate the process using Python scripts.",0.0,0.136,0.864,0.4201
appdynamics,We are in the process of building a new server infrastructure and will be using Appdynamics for analytics of the Java applications.,0.0,0.0,1.0,0.0
appdynamics,"Appdynamics has a lot of features, so it seems that server metrics via collectd to Graphite will no longer be necessary.",0.104,0.0,0.896,-0.296
appdynamics,Application metrics can also be fed straight into Appdynamics.,0.0,0.192,0.808,0.2263
appdynamics,"How about Logstash, ElasticSearch and Kibana and centralised logging.",0.0,0.0,1.0,0.0
appdynamics,Is there still any reason to build an ELK stack for the Java developers when they can use Appdynamics?,0.0,0.0,1.0,0.0
appdynamics,I have installed AppDynamics's Java Machine Agent along with the URL Monitoring Extension.,0.0,0.0,1.0,0.0
appdynamics,"Every day, for 1 or 2 hours, the metrics are not appearing on my metric browser.",0.0,0.0,1.0,0.0
appdynamics,"I checked the logs corresponding to those time periods, and I see that the HTTP Requests are being made and are getting back HTTP 200 OK responses.",0.0,0.109,0.891,0.4466
appdynamics,"My assumption is that the extension is not sending over the metrics, but I am unable to understand the cause of it.",0.0,0.0,1.0,0.0
appdynamics,Can anyone point me into the right direction?,0.0,0.0,1.0,0.0
appdynamics,I was not able to find any information regarding configuration of  AppDynamics  agent for  JUnit  tests.,0.0,0.0,1.0,0.0
appdynamics,I would like to test performance of Hibernate queries of  Spring  based web service backed by  PostgreSQL  database.,0.0,0.194,0.806,0.3818
appdynamics,Tests must be able to rollback the data at the termination.,0.0,0.0,1.0,0.0
appdynamics,Should it be unit or integration tests?,0.0,0.0,1.0,0.0
appdynamics,What is the best way to accomplish it?,0.0,0.538,0.462,0.7906
appdynamics,How to make  AppDynamics  collect and display graphs of query execution times?,0.0,0.0,1.0,0.0
appdynamics,UPDATE:,0.0,0.0,1.0,0.0
appdynamics,I was not able to set up addDynamics agent for JUnit tests inside IDEA.,0.0,0.0,1.0,0.0
appdynamics,"The VM arguments is pointing to agent  -javaagent:""C:\Tools\AppDynamicsAgent\javaagent.jar"" , the firewall is off but for some reason in appdynamics web based (SaaS) set up dialog shows that no agent able to connect:",0.138,0.0,0.862,-0.5647
appdynamics,"I'm using AppD as APM for my application and in slow transaction reports it shows most of the calls, which is not our application code and we are calling open source libraries method.",0.0,0.0,1.0,0.0
appdynamics,For example :,0.0,0.0,1.0,0.0
appdynamics,com.google.common.reflect.TypeVisitor.visit  method of google library takes almost 155 ms time and  com.google.common.reflect.TypeToken.equals()  method takes almost 60 ms. and  org.apache.tapestry5.internal.services.RenderQueueImpl.render()  takes almost 50 ms.,0.0,0.0,1.0,0.0
appdynamics,I want to highlight that  I've checked and my server is not loaded and both CPU and memory usage is very low as well this time taken is for very small amount of data processing .,0.062,0.158,0.78,0.3961
appdynamics,Let me know the reason behind this and how can I optimize the performance of my application.,0.0,0.176,0.824,0.4939
appdynamics,I have an application that is generating 3 kind of log files,0.0,0.0,1.0,0.0
appdynamics,"and I want to analyse the performance of my server using appdynamics so what kind of data my logs should be generating to generate analytics for server health, performance, throughput, server utilization?",0.0,0.042,0.958,0.0772
appdynamics,JMX used for monitoring and managing the services/components &amp; devices.,0.0,0.0,1.0,0.0
appdynamics,"My question is about monitoring,for the monitoring purpose do we have to change any code if we use JMX.",0.0,0.0,1.0,0.0
appdynamics,"If that is the case, App dynamics will solve this process without doing single line of code change ?",0.0,0.196,0.804,0.4404
appdynamics,"I haven't found anywhere an answer, so I decided to write here.",0.0,0.0,1.0,0.0
appdynamics,Is it possible to display AppDynamics Dashboards on the TV display?,0.0,0.0,1.0,0.0
appdynamics,"Currently I'm using something like  GRUNT  (gruntjs.com), but nowhere can I find whether it is feasible with that?",0.0,0.099,0.901,0.1901
appdynamics,"Currently I'm using GRUNT for displaying tasks from Jenkins, but I don't know how to configure it with AppDynamics.",0.0,0.0,1.0,0.0
appdynamics,"Regards,
Kamil",0.0,0.0,1.0,0.0
appdynamics,I am trying to setup the AppDynamics java agent.,0.0,0.0,1.0,0.0
appdynamics,I am facing issues in loading java agent in the JVM.,0.0,0.0,1.0,0.0
appdynamics,I try to add the below argument to the start.bat jvm options.,0.2,0.0,0.8,-0.3612
